Name / Entity,Type,Active Years,Resource or Trade Focus,Regions of Operation,Documented Exploitation Pattern,Modern Legacy / Successor
Portuguese Empire,Empire/State,1415–1975,"Gold, slaves, spices, sugar","West/Central/East Africa, Brazil, Indian Ocean","Royal charters, fortified posts, Atlantic slave trade, conquest in Angola/Mozambique; prazos land system",Republic of Portugal; successor firms/logistics
Spanish Empire,Empire/State,1492–1898,"Silver, gold, sugar, labor drafts","Americas, Philippines, Equatorial Guinea","Encomienda/repartimiento, Manila galleon, military occupation",Kingdom of Spain; corporate networks
Dutch Empire,Empire/State,1602–1975,"Spices, slaves, coffee, rubber","Cape, Gold Coast, Indonesia, Suriname, Caribbean","VOC/WIC monopolies, slave forts, plantation systems, cultuurstelsel in Java","Netherlands; multinationals (Shell, Heineken)"
British Empire,Empire/State,1600–1960s,"Textiles, tea, opium, minerals","Africa, India, Caribbean, Middle East","Chartered companies, protectorates, hut taxes, land alienation, indenture","United Kingdom; corporate successors (BP, De Beers, Anglo American)"
French Empire,Empire/State,1600s–1960s,"Peanuts, cotton, oil, uranium","North/West/Central Africa, Indochina","Concessionary firms, corvée, indigénat code, forced cultivation","French Republic; corporate successors (TotalEnergies, Bolloré)"
Belgian Congo Free State,Colonial State,1885–1908,"Rubber, ivory",Congo Basin,Leopold II personal colony; forced rubber quotas; abuses documented,Belgium; industrial successors (Umicore via Union Minière)
German Empire (Afrika),Empire/State,1884–1918,"Copper, diamonds, sisal","GSWA (Namibia), Kamerun, Togo, East Africa","Concessions, expropriation, forced labor; Herero/Nama genocide",Germany; successor firms
Italian Empire (Africa),Empire/State,1882–1943,"Land, agriculture, minerals","Libya, Eritrea, Somalia, Ethiopia","Settler colonialism, land seizures, forced labor",Italy; ENI and other energy firms
Ottoman Empire,Empire/State,1299–1922,"Tax-farms, grain, caravans","North Africa, Levant, Balkans",Iltizam tax-farming; capitulations; caravan control,Türkiye; successor trade networks
United States (Overseas),State,1898–present,"Sugar, bananas, copper, oil","Philippines, Caribbean, Central America","Protectorates, corporate concessions; plantation/mining systems",United States; corporate successors (United Fruit→Chiquita)
Japanese Empire,Empire/State,1895–1945,"Coal, iron, labor, rice","Korea, Manchuria, Taiwan, Pacific",Zaibatsu-directed extraction; forced labor mobilization,Japan; successor keiretsu/trading houses
VOC (Dutch East India Company),Chartered Company,1602–1799,"Spices, tea, textiles","Indian Ocean, Cape",Monopoly trade; military bases; forced cultivation,Liquidated; state & later firms inherited routes
WIC (Dutch West India Company),Chartered Company,1621–1794,"Slaves, sugar, gold","West Africa, Caribbean, Brazil",Slave forts; Atlantic sugar trade; privateering,Dissolved; Dutch colonial legacy
British East India Company (EIC),Chartered Company,1600–1874,"Spices, textiles, tea, opium","India, China, East Africa","Monopoly, private army, land revenue; opium export",Crown Raj; UK trading successors
Royal African Company,Chartered Company,1660–1752,"Gold, ivory, enslaved persons",West Africa,Charter monopoly; forts on Gold Coast; Atlantic trade,Investors linked to Bank of England origins
British South Africa Company (BSAC),Chartered Company,1889–1923,"Gold, diamonds",Southern Africa,"Concessions, land grants, private police; settler schemes",Assets into Anglo American ecosystems
Royal Niger Company,Chartered Company,1879–1900,"Palm oil, tolls",Nigeria (Niger delta),"Treaties, customs control, military enforcement",Merged into protectorate; later commercial successors
Compagnie du Congo pour le Commerce et l’Industrie (CCCI),Concession Company,1886–1906,"Rubber, ivory",Congo Free State,Concession extraction; portage; quotas,Folded into Belgian industrial groups
Union Minière du Haut-Katanga (UMHK),Mining Company,1906–1966,"Copper, cobalt, uranium",DRC (Katanga),"Company towns, labor control; Shinkolobwe uranium (WWII)",Umicore; intersects Gécamines
De Beers Consolidated Mines,Mining Company,1888–present,Diamonds,Southern Africa,Cartelized supply; migrant labor compounds,De Beers Group (Anglo American)
Anglo American Corporation,Mining Company,1917–present,"Gold, diamonds, platinum","Southern Africa, global",Vertical integration; apartheid-era labor systems,Anglo American plc
Rio Tinto,Mining Company,1873–present,"Copper, iron ore, bauxite",Global (incl. Africa),Concessions; open-pit expansion,Rio Tinto plc
Tanganyika Concessions Ltd,Mining/Rail,1899–1950s,"Copper, rail",DRC/Zambia,Rail-mining complex in Katanga,Merged interests with UMHK networks
Unilever (Lever Brothers),Agro-Industrial,1885–present,"Palm oil, consumer goods","Nigeria, Congo, global",Colonial-era plantation sourcing; smallholder control,Unilever PLC
Firestone (Liberia),Concession,1926–present,Rubber,Liberia,99-year concession; plantation labor issues,Bridgestone
Royal Dutch Shell,Oil & Gas,1907–present,"Oil, gas","Nigeria, Gabon, global",Colonial and post-colonial concessions; pipelines,Shell plc
BP (Anglo-Persian Oil Co.),Oil & Gas,1908–present,"Oil, gas","Iran, Nigeria, Angola",Imperial concessions; nationalizations; continued African ops,BP plc
TotalEnergies (CFP),Oil & Gas,1924–present,"Oil, gas",North/West/Central Africa,Concessions; LNG/pipelines,TotalEnergies SE
ENI,Oil & Gas,1953–present,"Oil, gas","Libya, Egypt, sub-Saharan",State-backed concessions; JVs,Eni SpA
ExxonMobil (SO/Esso),Oil & Gas,1870–present,"Oil, gas","Nigeria, Equatorial Guinea",Concessions; offshore blocks,ExxonMobil Corporation
Chevron (SoCal),Oil & Gas,1879–present,"Oil, gas","Angola, Nigeria",Concessions; deepwater projects,Chevron Corporation
Glencore,Trader/Miner,1974–present,"Copper, cobalt, oil","DRC, Zambia, Nigeria",Trading-finance blend; mine offtake; logistics,Glencore plc
Bolloré Group,Logistics,1822–present,"Ports, logistics",West/Central Africa,Port concessions; rail/logistics control,Bolloré Africa Logistics (sold to MSC)
Cargill,Agro-Commodity,1865–present,"Cocoa, cotton","West Africa, global",Procurement power; shipping,Cargill Inc.
ADM (Archer Daniels Midland),Agro-Commodity,1902–present,"Cocoa, soy","West Africa, global",Sourcing and processing,ADM Co.
Nestlé,Food/Commodity,1866–present,"Cocoa, coffee","West Africa, global",Sourcing networks; value-chain control,Nestlé SA
BAT (British American Tobacco),Consumer/Agro,1902–present,Tobacco,Africa-wide,Leaf contracting; logistics; taxation issues,BAT plc
Francis Drake,Privateer,1560s–1596,"Plunder, silver, slaves","Atlantic, Caribbean, Pacific",Crown-sanctioned privateering vs Iberian fleets,Historical legacy
John Hawkins,Slave Trader/Privateer,1560s–1590s,Slave trade,"West Africa, Caribbean",Early English slave voyages; triangular trade,Historical legacy
Cecil Rhodes,Financier/Administrator,1880s–1902,"Diamonds, land",Southern Africa,BSAC founder; land alienation policies,Institutional legacies; corporate links
Robert Clive,Company Officer,1740s–1774,"Land revenue, trade",India,EIC military victories; Diwani revenue control,Historical legacy
King Leopold II,Monarch/Owner,1865–1909,"Rubber, ivory",Congo Free State,Personal colony; forced labor system,Belgian state assumed colony 1908
Hernán Cortés,Conquistador,1519–1547,"Gold, tribute",Mexico,Conquest; encomienda establishment,Spanish colonial legacy
Francisco Pizarro,Conquistador,1524–1541,"Silver, tribute",Peru,Conquest of Inca; mita adaptation,Spanish colonial legacy
Henry Morton Stanley,Agent/Explorer,1870s–1890s,Territorial treaties,Congo Basin,Treaty-making for Leopold II; route opening,Historical legacy
Jan van Riebeeck,Administrator,1652–1662,"Refreshment station, land",Cape of Good Hope,VOC founder of Cape colony; land appropriation,Historical legacy
